area_id,archetype,region,region_position_km,population,poverty_incidence_pct,elevation_m,distance_to_coast_km,avg_annual_rainfall_mm,historical_typhoon_frequency,landslide_susceptibility,infrastructure_condition_index,grid_redundancy_index,road_network_connectivity_index,water_backup_supply,hospital_backup_power_hours
0,inland_flood,region_4,160.17168981671188,23197,42.77413290243393,34.54833655472036,71.16953222842801,2132.124106321939,0.8840104796907942,0.20824455327732416,0.5050937962553018,0.5063887376685758,0.3799551264154675,0.47833480740425033,18.294923211252694
1,coastal_mod,region_4,231.55816225317773,19243,12.680166356891611,9.14742295564582,2.1906777912766007,2378.1921351464657,1.7378637159043044,0.11871333935441228,0.40467610561198447,0.34426624277561385,0.3425262119170576,0.4180429421453398,13.597257718636934
2,mountain,region_5,113.66038690438717,2383,50.64518287115089,286.9551476819066,90.10209555456584,2335.0414100104963,1.165743041872616,0.6554983828295182,0.3466432798709562,0.24896744546034985,0.24975164471472555,0.34901065036703915,13.903054034313168
3,inland_flood,region_5,176.25584776675217,18172,24.09941870888327,194.9006751235133,60.61271470053369,1899.3079204548446,1.3264318878252495,0.19132681940820703,0.4924032008758947,0.3280962519386653,0.47620914299817013,0.41895958203840516,23.306155979381355
4,coastal_high,region_4,289.86078761045286,13487,30.960582947789444,19.91699534935429,0.5054698684763628,2916.4562553976943,2.255355922208219,0.21917391041819717,0.4877253031033774,0.44308710735163426,0.4520332201915628,0.4880211281859397,30.379479376812878
5,urban,region_2,156.5940342354152,94785,47.23998816441046,45.02068108969574,12.237100720155555,1931.0468513037592,1.1630936505074911,0.20890026730206268,0.5914415626711097,0.569820795664614,0.7155494446220092,0.6143272206589756,45.26814506755628
6,inland_flood,region_3,272.93927295526333,20120,43.97806607624954,58.889013456652805,38.688203047458366,2250.330246334309,0.9972807977716801,0.15164570051878723,0.5837365067002365,0.5866609060281383,0.4708384903833437,0.593312677360975,34.354510484150516
7,inland_flood,region_3,238.10178727692806,26643,35.91913491828802,198.17380638611854,25.598438234941685,2370.7840816802177,0.8722909625289178,0.18973287899509866,0.6014530708591225,0.5213965246852716,0.5050024495617034,0.4642848298960735,32.42322240386808
8,coastal_high,region_4,17.615604495044913,58339,55.93436779377981,13.011677831095,2.2971038720458816,2263.445286809689,2.639978953954888,0.1874888410486234,0.6162145374791482,0.5873569906276042,0.5466403826095704,0.5893452309095418,40.77351405917578
9,coastal_mod,region_5,128.72966144077705,34673,33.766044024813986,45.083435992971,5.640143837855842,1956.9440765283773,1.7006821171395803,0.15820752870586674,0.500253170196968,0.47813504218256153,0.45348988537779245,0.5770435777963407,23.421120086213634
10,coastal_mod,region_2,209.49552236057644,4693,22.109255383545857,28.41905187087087,7.069438026275513,2009.0065727548886,1.3725430799428369,0.16009800447048456,0.5309339061505319,0.38343849811155917,0.4953089973893006,0.34313243460284204,22.028766263274246
11,mountain,region_3,296.01357373445995,2907,44.297567278206714,2084.092471726789,137.04896945245488,1666.5186871232934,0.6220575129686188,0.7400606208264231,0.5188532901492433,0.4152691275316551,0.4003380780243177,0.4752065308812025,30.139800296843
12,inland_flood,region_1,137.51288734845377,87449,46.4477754567113,89.33654180266927,36.71154707489465,1859.1791805098426,1.4622519064611452,0.11210194704170681,0.48135369715865334,0.4830788817960663,0.4760996522237257,0.448288324576749,21.42348743771199
13,mountain,region_4,27.835636238021834,3856,26.463899313404347,1051.738210605279,106.96353302613839,3050.724868609753,0.9410052406632903,0.6834362725207552,0.3864903005688525,0.4727090585494509,0.3623346101408032,0.5344481270457893,28.838332371983956
14,coastal_mod,region_3,168.60275241386034,35906,56.285806686805316,13.648951787488734,7.992983969375936,1834.0485601826283,1.3609497619409796,0.1151556887497221,0.6342989767159907,0.5678220513595459,0.5940264255503082,0.5191846113127087,40.76636385866998
15,coastal_high,region_3,37.96913763718809,19570,37.853883522341214,96.91936283200441,0.7314196453832162,3130.0784434615794,2.6648958159156875,0.07167282872844612,0.49867482154152165,0.5661031934183612,0.4339904128966239,0.5865030962202483,32.81976627432516
16,coastal_mod,region_3,225.45586808381802,23476,31.940979246572216,37.658064596505085,3.7830133484689448,2048.294439716423,1.2470153559865795,0.1577781472294842,0.4545746593197019,0.49965040391909793,0.4816233076666618,0.4364604455460931,26.36744526446768
17,coastal_high,region_2,152.30309923853335,20538,13.211405827077769,11.135592933093594,2.7304990939215257,3445.6142548411012,2.1043219296011397,0.1481591472091709,0.5063450291022622,0.5592051800219806,0.6064383940521662,0.5002039952973104,32.32267788881593
18,mountain,region_3,217.02941051318595,16405,37.21119071075203,220.63919185403316,42.36955698319156,2059.093467342286,0.8307723154872706,0.74181956565944,0.5630861174676425,0.46162770207669185,0.44504344818231617,0.4718794732720314,27.39031762551838
19,inland_flood,region_4,260.8085480635571,20118,38.72372706531381,18.47803945840808,75.6949938533717,1956.8054150533521,0.6050292485074478,0.21334751964206194,0.4055235960972248,0.2879155669439397,0.19297760774039674,0.30903724152957296,6.715254963265722
20,inland_flood,region_2,188.68440514883315,12598,42.358740656337055,69.59892826432943,49.289335673706574,1726.94508044228,1.0947206096277844,0.21738859214581702,0.48178052163673957,0.5177858426467264,0.4649811780128661,0.4617751560597682,35.41538801774733
21,coastal_mod,region_1,183.73179877595447,9507,28.09783735347786,87.78498153943603,7.144326308576013,1959.3047292449608,1.1712965765964647,0.2224038775960105,0.5595355489280437,0.5561039021830271,0.6079578146747832,0.5735494356222802,41.886412921220526
